model,file,seed,status,wall_time,error,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F,dataset
AutoEncoder,078_SMD_id_22_Facility_tr_500_1st_326.csv,2024,success,0.5926063060760498,,0.04826611919563435,0.556089485263869,0.06115544869880975,0.5065537777779856,0.15119005781466147,0.48686679174484054,0.10004731967822593,0.05456966362809085,0.672726077559762,SMD
AutoEncoder,078_SMD_id_22_Facility_tr_500_1st_326.csv,42,success,0.5939478874206543,,0.04794529343796588,0.5513040247972596,0.06323582778016541,0.5008119912792535,0.15293632242671912,0.45327510917030567,0.08771929824561356,0.03896505552939791,0.6765131743619613,SMD
AutoEncoder,115_PSM_id_1_Facility_tr_50000_1st_129872.csv,13,success,48.541980504989624,,0.29762057179774004,0.7290234814791497,0.2737897117340838,0.7236796749258653,0.37471951849397583,0.8522478006880787,0.45142886264317245,0.29977110748661534,0.7598921746511467,PSM
AutoEncoder,115_PSM_id_1_Facility_tr_50000_1st_129872.csv,1337,success,49.45674133300781,,0.2828215014188177,0.7079018660879665,0.25579369419610176,0.6979209836448228,0.3665871620622771,0.855691386949361,0.4426093674769615,0.29912914347939,0.7669059713603996,PSM
AutoEncoder,115_PSM_id_1_Facility_tr_50000_1st_129872.csv,17,success,48.79458141326904,,0.28687768565846544,0.7085347188617575,0.25789887884341073,0.6992221504128522,0.3731961594606503,0.8456813589163882,0.429005482855675,0.2731975791831285,0.7653663287025729,PSM
AutoEncoder,115_PSM_id_1_Facility_tr_50000_1st_129872.csv,2024,success,48.70782446861267,,0.2907935638344987,0.7192823635360319,0.2590389086064022,0.7044663711453023,0.37496645332183615,0.8424727214697493,0.3946543672889478,0.22473719943965076,0.7627769316179833,PSM
AutoEncoder,115_PSM_id_1_Facility_tr_50000_1st_129872.csv,42,success,49.43795442581177,,0.2902618850062402,0.7114887753835053,0.2582725354226822,0.7017061588735733,0.3714418898497577,0.8424368072721473,0.4352748849600383,0.2698689879870277,0.7704578635647045,PSM
AutoEncoder,132_OPPORTUNITY_id_4_HumanActivity_tr_895_1st_995.csv,13,success,0.8957903385162354,,0.06773009447036238,0.6506291708101747,0.07135079032055505,0.6506647577238385,0.20215844456359558,0.3011344104503266,0.2103361040838451,0.27146753984828154,0.7096450669706549,OPPORTUNITY
AutoEncoder,132_OPPORTUNITY_id_4_HumanActivity_tr_895_1st_995.csv,1337,success,0.8920474052429199,,0.06523578063528136,0.6400950244499091,0.068327076858964,0.640170752172195,0.1926641730189419,0.297554347826087,0.20197740112994333,0.2431394217628093,0.6998913995842135,OPPORTUNITY
AutoEncoder,132_OPPORTUNITY_id_4_HumanActivity_tr_895_1st_995.csv,17,success,0.8934016227722168,,0.05862835399004204,0.6085671042725028,0.06077467981432877,0.6087657885417672,0.1704895331540434,0.27289719626168224,0.17587939698492444,0.17324836898389062,0.6834509484380975,OPPORTUNITY
